indice_tiempo,indice_serie_original,indice_serie_desestacionalizada,indice_serie_tendencia_ciclo
2004-01-01,92.62750602691051,98.44847585457256,96.04433627895963
2004-02-01,90.1861793165596,98.28904328240463,96.64369707758156
2004-03-01,101.88329804238072,97.4860716077727,97.30612805728364
2004-04-01,102.5674302511826,95.53365332974144,97.99830718001093
2004-05-01,109.87750394051662,96.65664898237415,98.71943243895626
2004-06-01,105.66240620209852,98.45237216447451,99.46460251772942
2004-07-01,101.10699729002121,100.9556662036567,100.2383221799637
2004-08-01,98.35573694243756,101.92787687795351,101.04239204277548
2004-09-01,98.08637453469638,102.4704760787243,101.8716523979185
2004-10-01,97.8356659809799,103.22360526692806,102.71854294538711
2004-11-01,100.13194668122141,103.000197191927,103.56377842671196
2004-12-01,101.67895479099535,103.55591315947045,104.38880845672188
2005-01-01,98.473359529179,105.54031128021872,105.17774229431221
2005-02-01,96.11886613343405,106.10659571882195,105.91921132580464
2005-03-01,110.65642586719524,107.11013869729523,106.61026944116972
2005-04-01,116.54519048214908,108.10624290414478,107.25490777220944
2005-05-01,126.66194335502728,108.87006388627613,107.86290307831577
2005-06-01,116.50222321492876,108.55887831079023,108.44978761684878
2005-07-01,107.58113926245956,109.2305652667161,109.0333963888928
2005-08-01,105.82089279310112,109.37442560946377,109.63047095400611
2005-09-01,104.89213472672316,109.13710409651695,110.2535012387146
2005-10-01,104.4606653849844,109.75695556243272,110.90979268368784
2005-11-01,108.00375438454834,111.05711178751369,111.60378366472484
2005-12-01,110.50332389924424,113.37152603602108,112.33356807495436
2006-01-01,106.53094787692403,113.44225972921043,113.09133982052496
2006-02-01,104.0901370432872,114.88520875271338,113.86771401783398
2006-03-01,118.58827645043104,114.80685311580716,114.65388207034194
2006-04-01,122.08710730131628,115.8289276556947,115.445608845837
2006-05-01,133.3710156747742,115.17150644880104,116.2458506548638
2006-06-01,124.29274775102324,116.01497938645508,117.05577782444988
2006-07-01,117.0456318535268,117.96183567625437,117.8779658701665
2006-08-01,116.30360797574892,118.91703092983411,118.71759721788293
2006-09-01,114.80248033323907,119.79881678189794,119.58119199615399
2006-10-01,116.47750825324565,120.18919050610468,120.46841217805012
2006-11-01,118.14078229406631,120.55576777113887,121.37730630508136
2006-12-01,119.60317208093002,123.76103826775831,122.3011804523295
2007-01-01,114.70176482722368,122.1462841988224,123.23220474953884
2007-02-01,112.743248286053,124.67215593888298,124.16341403573013
2007-03-01,129.28276498944658,126.68740842243231,125.092471847686
2007-04-01,133.46308313008805,125.54697728803517,126.0154316732839
2007-05-01,147.60791074167543,127.29383268984024,126.93050242114764
2007-06-01,136.12098630494512,128.19637439962455,127.83820556048714
2007-07-01,127.3875518979554,127.18938532267843,128.73857789798305
2007-08-01,126.59522767863001,129.1341896685027,129.6307665012663
2007-09-01,123.51046329444522,129.60584930463878,130.51093013640855
2007-10-01,128.4153826610447,131.27975740095164,131.37034259803104
2007-11-01,129.73508945617354,132.462884566781,132.19227046736663
2007-12-01,128.89792837498598,134.24630258663237,132.94806724250768
2008-01-01,126.22689251081431,134.92236588924985,133.60541881095972
2008-02-01,122.82490450916451,133.8081218119373,134.12778497282883
2008-03-01,132.33412728743556,133.50374617507907,134.477492164624
2008-04-01,145.28049855207212,136.19413486220517,134.62059654918198
2008-05-01,154.15616391286648,135.07450894160957,134.5271959475096
2008-06-01,140.50348421669764,132.910058939761,134.1775051179096
2008-07-01,136.63868805371584,135.40448626386146,133.57099692117316
2008-08-01,131.34092143552698,135.54311105239245,132.7246340766827
2008-09-01,132.18593848988462,135.63633927941208,131.67443622872736
2008-10-01,130.39517884255912,132.3970070551157,130.47332921296774
2008-11-01,125.52756329262155,129.64011819907094,129.1913700434419
2008-12-01,123.46600579407664,125.84636857879204,127.907367499513
2009-01-01,116.7584192020652,124.36786882611662,126.70710274383076
2009-02-01,114.85886148592793,126.36412022745716,125.67370375244964
2009-03-01,126.16560261026108,123.67424236670172,124.87690835757608
2009-04-01,127.99055887450349,122.07507351936044,124.36683282073703
2009-05-01,133.03567047814315,121.21695985641158,124.17305748268728
2009-06-01,129.31265804805898,122.15962209821564,124.30303848376805
2009-07-01,127.36305837501409,124.83471780497193,124.74398200760895
2009-08-01,124.00328620894652,126.36455948612564,125.46516580078236
2009-09-01,126.18512812472765,128.0277442401512,126.4239975038398
2009-10-01,127.07986188269524,128.9468415428195,127.56754863385288
2009-11-01,127.09219178029132,129.33138281458326,128.8391370682386
2009-12-01,126.28656380555832,128.76872823539196,130.1845743544382
2010-01-01,121.50567852923164,131.6066307766114,131.5580281187125
2010-02-01,119.82280209203972,133.23317387464982,132.91792488330893
2010-03-01,136.8955016204612,134.4293269760129,134.23267701428813
2010-04-01,145.77413149301782,136.8752353326228,135.47800070859407
2010-05-01,158.1106315304388,139.22354601799265,136.6397446894804
2010-06-01,149.86155200805442,140.56997300172503,137.7111594959408
2010-07-01,139.50568662872732,139.02388100412657,138.69630648612298
2010-08-01,137.24598068715568,139.56055037988156,139.61029612402805
2010-09-01,136.69642672162286,139.57724181980632,140.47252809449017
2010-10-01,135.13884450692316,140.0315419993893,141.29709586075325
2010-11-01,139.59882328372223,142.1482578923551,142.09331448304394
2010-12-01,138.47764951271685,142.35434969543948,142.8666251709996
2011-01-01,133.0769197185519,145.3777714341187,143.61773931679042
2011-02-01,129.50988684262188,144.10599284817752,144.33844217229804
2011-03-01,147.00183909502374,145.28424213827012,145.0095525809544
2011-04-01,151.03582303961804,144.86246106846082,145.60759862544242
2011-05-01,166.17834208101743,146.89922297748268,146.10912641302446
2011-06-01,156.6936585122553,147.01000362937842,146.49349445886537
2011-07-01,146.37808828046838,146.6264068756869,146.74411967597004
2011-08-01,146.39850538471867,146.7439160116589,146.8509207024188
2011-09-01,147.170906821271,148.58821801055885,146.81112944316132
2011-10-01,145.0500024277993,147.18068987731792,146.63459385223953
2011-11-01,146.3616451241655,147.59509443660022,146.3459489620715
2011-12-01,143.36165785374328,147.94325603944202,145.98041937680026
2012-01-01,136.19408129361287,147.2610788222247,145.57933209651674
2012-02-01,132.36052594074118,145.5209007088441,145.18520172502198
2012-03-01,147.4410162449576,145.13107290176148,144.8408535425426
2012-04-01,145.52027831854522,141.22821685876562,144.5823521307399
2012-05-01,157.4041837193603,140.4654701203572,144.43979730550836
2012-06-01,149.03310174150508,140.96482119327857,144.43389411217277
2012-07-01,146.86279961903688,144.4262758663851,144.57301142340026
2012-08-01,145.6932569888101,145.20054830072962,144.8509729906482
2012-09-01,142.47153651731423,146.34762934832227,145.24591023528313
2012-10-01,147.23130295530083,147.29373264481717,145.72706773447774
2012-11-01,146.37343184468628,147.27113904016852,146.26077904940274
2012-12-01,143.58505809958143,149.05968764200026,146.81049943470933
2013-01-01,136.5170718250443,146.22208170581573,147.3425928313389
2013-02-01,132.795321964955,148.08348424708348,147.82871174645408
2013-03-01,149.40394566736484,148.5038406427012,148.24345176196763
2013-04-01,155.94159584157654,147.76867632569468,148.57094270254385
2013-05-01,167.9734791225302,148.80542631292386,148.80188829081766
2013-06-01,156.2718644302407,149.44309816647527,148.92519922765624
2013-07-01,150.73100129825897,148.35148721841162,148.9329114530266
2013-08-01,148.42144953050052,150.13008761923888,148.82032151950082
2013-09-01,147.0048441881334,150.32425979629932,148.5905517267405
2013-10-01,148.6939593959755,149.3590858915773,148.2532916300303
2013-11-01,145.69589762827005,148.4305022463685,147.82095229780867
2013-12-01,142.5768791271264,146.6052800155361,147.31164604401837
2014-01-01,137.96969739537636,146.3767884021664,146.7469819513319
2014-02-01,132.48630687243056,146.75185475800927,146.1540523599156
2014-03-01,144.53782808347015,144.58091888491674,145.56544278654664
2014-04-01,152.34143546147138,144.65889849178456,145.01754331742913
2014-05-01,164.2032439025611,145.16511451095232,144.5464865896015
2014-06-01,153.80352402990053,145.0526490688197,144.1873092986494
2014-07-01,145.4228137340859,144.1862429793595,143.9715900282303
2014-08-01,140.10530396605887,143.54095416983463,143.92542425409584
2014-09-01,141.71873319955728,143.61593125708637,144.05965109174718
2014-10-01,143.34939741761292,144.19454906283036,144.37276451648873
2014-11-01,140.87759689826308,144.53682870195306,144.8461643650119
2014-12-01,140.43593774912821,144.59108858612905,145.45035943908061
2015-01-01,133.9981890703503,144.78212372119899,146.14530705079233
2015-02-01,132.627886955774,148.37207559058618,146.8785519712831
2015-03-01,149.4090129833281,146.79567442458676,147.59386250688092
2015-04-01,157.48459953731432,148.8615273309031,148.23842680980968
2015-05-01,168.88610058983411,149.55195321396832,148.76486065346347
2015-06-01,162.93739000912225,151.93231133353484,149.13280736408595
2015-07-01,151.8447963430633,150.59473130094625,149.3187338639387
2015-08-01,146.46506720486232,149.95476187987703,149.31681542466814
2015-09-01,145.8823237186007,149.29260130055886,149.1356152478879
2015-10-01,147.04587615341626,149.44280556191922,148.795890112768
2015-11-01,146.175581385648,148.36435406818296,148.3314151082004
2015-12-01,141.9421187346255,146.75402312808137,147.78205009458722
2016-01-01,134.74047479136075,147.49494381191488,147.19243706422242
2016-02-01,134.22459156840858,146.62506344140223,146.6074351198115
2016-03-01,150.10163932904797,146.79449343724085,146.06897719487702
2016-04-01,153.24138059402398,145.26773321585276,145.61198390216387
2016-05-01,163.533300189347,144.25212960268388,145.26115107632427
2016-06-01,153.65169691116077,144.31398117058143,145.03234040707858
2016-07-01,143.73771538267968,144.66898045567186,144.9296859656176
2016-08-01,143.67199627319798,145.21551735579354,144.9496338594624
2016-09-01,142.0032294173488,145.29323725659142,145.08341433647325
2016-10-01,141.13253896661539,144.6204333231488,145.32071260322292
2016-11-01,144.93985702557853,146.04194447463792,145.64878580871755
2016-12-01,142.5929331069368,146.98289617509062,146.05821445618437
2017-01-01,136.50584437771795,146.8830864579195,146.5379229148879
2017-02-01,131.84354227536298,146.32988264631808,147.07804061953294
2017-03-01,151.9468279806249,147.52108442664024,147.66796860844843
2017-04-01,153.196525163585,147.17172597300487,148.2916996486631
2017-05-01,167.5672098508254,147.48597241175875,148.92682626282027
2017-06-01,159.4413223709983,150.1366678815548,149.54185047766717
2017-07-01,149.94257068067992,150.1348605280599,150.10075104150837
2017-08-01,148.88410457874656,150.29509471674243,150.5628909452863
2017-09-01,146.98103471208393,151.87207282593266,150.88579943358513
2017-10-01,148.95771254056726,151.525373460553,151.03508855871544
2017-11-01,151.9466344881008,152.6377212070104,150.984608737835
2017-12-01,146.9935456100958,152.21333226320033,150.72122348585302
2018-01-01,143.00208412390742,152.21189067897794,150.25077766283982
2018-02-01,138.81974494102258,152.20583382789343,149.59279528621028
2018-03-01,155.7444493730321,151.90907326807502,148.78246457901383
2018-04-01,153.29954113628798,147.07306618155584,147.8640324273817
2018-05-01,159.61209283665426,143.639867765234,146.8881744630034
2018-06-01,149.01494902748988,142.63632795512586,145.90839664048863
2018-07-01,145.63132493802343,143.51979236723488,144.97298481819632
2018-08-01,146.15305982913162,146.26384054329944,144.12179423225368
2018-09-01,137.74975916988626,142.94322345671253,143.38329361413346
2018-10-01,142.9652400022151,144.25321416121236,142.7770029638951
2018-11-01,140.93508185961343,141.2503054395046,142.3136852870613
2018-12-01,136.751056737791,141.77194976400287,141.99580792393473
2019-01-01,134.8444887192949,142.731223952406,141.81830672034255
2019-02-01,132.33440986339545,143.02445105067392,141.7700757564584
2019-03-01,144.85807105458463,141.36936465863576,141.83550807664014
2019-04-01,151.419146260986,142.05393007720605,141.99605764242642
2019-05-01,163.88336658332085,142.0689695603504,142.231735416666
2019-06-01,149.6084433371171,141.56584709638364,142.5224920668309
2019-07-01,146.46242798649783,143.2431839370415,142.84946628702826
