indice_tiempo,indice_serie_original,indice_serie_desestacionalizada,indice_serie_tendencia_ciclo
2004-01,92.62750602691051,98.44644059187507,96.0458100922521
2004-02,90.1861793165596,98.2859192068772,96.64495644580296
2004-03,101.88329804238072,97.49123094599938,97.3071896768643
2004-04,102.5674302511826,95.53050576885636,97.9990208617124
2004-05,109.87750394051662,96.65817796022664,98.71985343261602
2004-06,105.66240620209852,98.45399074750787,99.46469027588391
2004-07,101.10699729002121,100.9556580216852,100.23806399673114
2004-08,98.35573694243756,101.92749730743546,101.04178289315549
2004-09,98.08637453469638,102.47086383121339,101.87076115719192
2004-10,97.8356659809799,103.222782895258,102.71747844414978
2004-11,100.13194668122141,102.99885320416985,103.56266298639082
2004-12,101.67895479099535,103.55807951889572,104.38772973724899
2005-01,98.473359529179,105.539246479818,105.1767793850112
2005-02,96.11886613343405,106.10307075214105,105.9184387220898
2005-03,110.65642586719524,107.11472846437368,106.6097435078768
2005-04,116.54519048214908,108.10260283892592,107.25464070987486
2005-05,126.66194335502728,108.87125134767429,107.86293656527478
2005-06,116.50222321492876,108.56133091460664,108.45013106023086
2005-07,107.58113926245956,109.23051212328163,109.03400957212305
2005-08,105.82089279310112,109.37416130087648,109.63125822827278
2005-09,104.89213472672316,109.1374215485336,110.25433165551405
2005-10,104.4606653849844,109.75652005816481,110.91052283510894
2005-11,108.00375438454834,111.05610440332256,111.60428153206341
2005-12,110.50332389924424,113.37296892447227,112.3337246122324
2006-01,106.53094787692403,113.44137503485442,113.09108536025428
2006-02,104.0901370432872,114.88187315115731,113.86702353781168
2006-03,118.58827645043104,114.811073411711,114.65279859848162
2006-04,122.08710730131628,115.82080940020259,115.4441991565398
2006-05,133.3710156747742,115.17374530183734,116.24403281873468
2006-06,124.29274775102324,116.02085878890269,117.05357073398065
2006-07,117.0456318535268,117.96235137280271,117.87556578623918
2006-08,116.30360797574892,118.91659309669848,118.71541556343699
2006-09,114.80248033323907,119.79873891847514,119.57973879177405
2006-10,116.47750825324565,120.1889916479253,120.46821081261356
2006-11,118.14078229406631,120.55517881060813,121.3787872155573
2006-12,119.60317208093002,123.76182608645651,122.30460521615444
2007-01,114.70176482722368,122.14461204817906,123.23763547378509
2007-02,112.743248286053,124.66867222463165,124.17064752257204
2007-03,129.28276498944658,126.6925642873138,125.10098505409461
2007-04,133.46308313008805,125.53177552038404,126.0245588493998
2007-05,147.60791074167543,127.29865159032387,126.93957911681105
2007-06,136.12098630494512,128.20675726677592,127.8465865591697
2007-07,127.3875518979554,127.19105847692484,128.74579090420266
2007-08,126.59522767863001,129.13345672854072,129.636581100017
2007-09,123.51046329444522,129.60490909033794,130.5153830666094
2007-10,128.4153826610447,131.28076212008048,131.37370274655964
2007-11,129.73508945617354,132.46217227574286,132.19496718484152
2007-12,128.89792837498598,134.24601015852355,132.95059082462507
2008-01,126.22689251081431,134.91941094437493,133.60819691543065
2008-02,122.82490450916451,133.80444244579158,134.1310640280677
2008-03,132.33412728743556,133.51038048608106,134.4812467402243
2008-04,145.28049855207212,136.17081916125028,134.6244951716647
2008-05,154.15616391286648,135.08314877686706,134.53076713265943
2008-06,140.50348421669764,132.92473480543788,134.18047014886972
2008-07,136.63868805371584,135.40761976249078,133.57314165190084
2008-08,131.34092143552698,135.54197845740694,132.725869434078
2008-09,132.18593848988462,135.6343383757467,131.6747996538702
2008-10,130.39517884255912,132.39896639897714,130.4730082132473
2008-11,125.52756329262155,129.63899139618806,129.19062981359812
2008-12,123.46600579407664,125.84553603779291,127.90649075876223
2009-01,116.7584192020652,124.36459899216378,126.70630825824871
2009-02,114.85886148592793,126.36051811432579,125.67310942081457
2009-03,126.16560261026108,123.68111431376623,124.87653212302263
2009-04,127.99055887450349,122.04795493458981,124.36662766915892
2009-05,133.03567047814315,121.2275240519117,124.17289733912231
2009-06,129.31265804805898,122.1761764874688,124.30277119830595
2009-07,127.36305837501409,124.83786323313248,124.74349247255577
2009-08,124.00328620894652,126.36345559184666,125.46436038544556
2009-09,126.18512812472765,128.02570270625006,126.42284284467381
2009-10,127.07986188269524,128.94920368252158,127.56606979588908
