indice_tiempo,indice_serie_original,indice_serie_desestacionalizada,indice_serie_tendencia_ciclo
2004-01-01,92.62750602691051,98.4087012970573,96.02402075246503
2004-02-01,90.1861793165596,98.25702213785902,96.62705446946156
2004-03-01,101.88329804238072,97.48221877608255,97.29277689037116
2004-04-01,102.5674302511826,95.54744211421112,97.98871377560916
2004-05-01,109.87750394051662,96.69048573179899,98.71390289454821
2004-06-01,105.66240620209852,98.49352163485912,99.46346829795107
2004-07-01,101.10699729002121,100.98976947066649,100.24171792527581
2004-08-01,98.35573694243756,101.94630969148923,101.05051795970735
2004-09-01,98.08637453469638,102.47041439574112,101.88366231748057
2004-10-01,97.8356659809799,103.1979608555826,102.7328602887492
2004-11-01,100.13194668122141,102.97093076866129,103.57870672600654
2004-12-01,101.67895479099535,103.54522312599111,104.40259770237452
2005-01-01,98.473359529179,105.56365534511768,105.18886118000702
2005-02-01,96.11886613343405,106.13736414636568,105.9267381238904
2005-03-01,110.65642586719524,107.13152484045582,106.61359033712185
2005-04-01,116.54519048214908,108.0801213644702,107.25374294100011
2005-05-01,126.66194335502728,108.83308391700314,107.85709973041858
2005-06-01,116.50222321492876,108.53430906368165,108.43917477238388
2005-07-01,107.58113926245956,109.2409293332844,109.01777514002664
2005-08-01,105.82089279310112,109.40141392059677,109.6095274510442
2005-09-01,104.89213472672316,109.16305319307213,110.2269745843819
2005-10-01,104.4606653849844,109.76158926247037,110.8778064136177
2005-11-01,108.00375438454834,111.04016273007342,111.56726504409106
2005-12-01,110.50332389924424,113.33271210638985,112.29489315957431
2006-01-01,106.53094787692403,113.37919441847096,113.05360357339116
2006-02-01,104.0901370432872,114.82025806655152,113.83415557826063
2006-03-01,118.58827645043104,114.76746148457487,114.62783946188442
2006-04-01,122.08710730131628,115.81553482004269,115.42917495312165
2006-05-01,133.3710156747742,115.19902329467597,116.23889820367985
2006-06-01,124.29274775102324,116.06838689123288,117.05573369997327
2006-07-01,117.0456318535268,118.01737114007628,117.88016928697287
2006-08-01,116.30360797574892,118.97324605557543,118.7168289895694
2006-09-01,114.80248033323907,119.84390129173521,119.57339545773588
2006-10-01,116.47750825324565,120.21738934567593,120.45124337085754
2006-11-01,118.14078229406631,120.54228475762235,121.35008658555996
2006-12-01,119.60317208093002,123.68936352759451,122.26525789558464
2007-01-01,114.70176482722368,121.99357577646714,123.19075212523634
2007-02-01,112.743248286053,124.50018677464213,124.12075745941178
2007-03-01,129.28276498944658,126.56639320309687,125.05131978125809
2007-04-01,133.46308313008805,125.5050884108952,125.97859227074764
2007-05-01,147.60791074167543,127.34633101484992,126.90084096290457
2007-06-01,136.12098630494512,128.30852366781747,127.8182964175186
2007-07-01,127.3875518979554,127.3148940352376,128.7300134959745
2007-08-01,126.59522767863001,129.25639348318978,129.63374095598328
2007-09-01,123.51046329444522,129.70025568336382,130.52443380527356
2007-10-01,128.4153826610447,131.33602476197842,131.39253929543094
2007-11-01,129.73508945617354,132.45959935704758,132.22099581979734
2007-12-01,128.89792837498598,134.17413569791051,132.9813103209102
2008-01-01,126.22689251081431,134.7712058757248,133.64131519326764
2008-02-01,122.82490450916453,133.61700428776908,134.16452597997994
2008-03-01,132.33412728743556,133.34036871375173,134.51291970871668
2008-04-01,145.28049855207212,136.0730327962471,134.65142628001655
2008-05-01,154.15616391286648,135.0618338896885,134.54988634349976
2008-06-01,140.50348421669764,133.00941321134331,134.18908678591677
2008-07-01,136.63868805371584,135.6024377496567,133.56989471085626
2008-08-01,131.34092143552698,135.77246696725135,132.7108119170243
2008-09-01,132.18593848988462,135.82791155190938,131.64926501678568
2008-10-01,130.39517884255912,132.48293282829812,130.4391816969115
2008-11-01,125.52756329262155,129.61210293651172,129.15150019218606
2008-12-01,123.46600579407664,125.70965632220836,127.86572947090806
2009-01-01,116.7584192020652,124.12265723691416,126.6667619802654
2009-02-01,114.85886148592793,126.09689301148654,125.636440052872
2009-03-01,126.16560261026108,123.49490983998236,124.844481906072
2009-04-01,127.99055887450348,122.02331100919069,124.34220292319216
2009-05-01,133.03567047814315,121.31988556135904,124.15674364959592
2009-06-01,129.31265804805898,122.36396270652493,124.29275521747904
2009-07-01,127.36305837501408,125.06887454191609,124.73523697240154
2009-08-01,124.00328620894652,126.57900041368956,125.45211861157158
2009-09-01,126.18512812472765,128.1801929179668,126.40106572744348
2009-10-01,127.07986188269524,128.9908299949724,127.53173888394586
2009-11-01,127.09219178029132,129.27264240317197,128.79111135213824
2009-12-01,126.28656380555832,128.6187014581493,130.1290952709301
2010-01-01,121.50567852923164,131.4083949011042,131.50063852805422
2010-02-01,119.82280209203972,133.0125203513608,132.86591416772092
2010-03-01,136.8955016204612,134.284552137383,134.19474936150027
2010-04-01,145.77413149301782,136.79320720309462,135.4623574957637
2010-05-01,158.1106315304388,139.27915272022756,136.65214599346635
2010-06-01,149.86155200805442,140.71942318286176,137.75361084683192
2010-07-01,139.50568662872732,139.21889851422475,138.76594244024156
2010-08-01,137.24598068715568,139.7687200957167,139.70004268172482
2010-09-01,136.69642672162286,139.72928583320441,140.57316189355885
2010-10-01,135.13884450692316,140.06688950930564,141.3983990560705
2010-11-01,139.59882328372223,142.09655249313084,142.18583579211418
2010-12-01,138.47764951271685,142.25611191383243,142.9430926003941
2011-01-01,133.0769197185519,145.32993630955215,143.6738595052113
2011-02-01,129.50988684262188,144.05285740855527,144.37378278006463
2011-03-01,147.00183909502374,145.28515945827147,145.0270090619985
2011-04-01,151.03582303961804,144.82761557946424,145.61067326563048
2011-05-01,166.17834208101743,146.93010410745103,146.10118448194564
