anio;provincia_id;provincia_nombre;dpto_id;dpto_nombre;codigo_delito_agrupado_nombre;cantidad_hechos;cantidad_victimas;
2014;6;Buenos Aires;;Almirante Brown;Total de vmctimas de lesiones dolosas;;2978;
2014;6;Buenos Aires;;Almirante Brown;Total de vmctimas de muertes en siniestros viales;;0;
2014;6;Buenos Aires;;Almirante Brown;Total de vmctimas de lesiones culposas en siniestros viales;;1;
2014;6;Buenos Aires;;Almirante Brown;Total de vmctimas de violaciones;;20;
2014;6;Buenos Aires;;Almirante Brown;Total de vmctimas de otros delitos contra la integridad sexual;;303;
2014;6;Buenos Aires;;Almirante Brown;Total de hechos de amenazas;2162;;
2014;6;Buenos Aires;;Almirante Brown;Total de delitos contra la propiedad;3922;;
2014;6;Buenos Aires;;Almirante Brown;Total de hechos de robos;1962;;
2014;6;Buenos Aires;;Almirante Brown;Total de hechos de hurtos;1271;;
2014;6;Buenos Aires;;Arrecifes;Total de hechos delictivos;1565;;
2014;6;Buenos Aires;;Arrecifes;Total de vmctimas de delitos contra las personas;;420;
2014;6;Buenos Aires;;Arrecifes;Total de vmctimas de homicidios dolosos;;1;
2014;6;Buenos Aires;;Arrecifes;Total de vmctimas de lesiones dolosas;;270;
2014;6;Buenos Aires;;Arrecifes;Total de vmctimas de muertes en siniestros viales;;2;
2014;6;Buenos Aires;;Arrecifes;Total de vmctimas de lesiones culposas en siniestros viales;;50;
2014;6;Buenos Aires;;Arrecifes;Total de vmctimas de violaciones;;0;
2014;6;Buenos Aires;;Arrecifes;Total de vmctimas de otros delitos contra la integridad sexual;;3;
2014;6;Buenos Aires;;Arrecifes;Total de hechos de amenazas;204;;
2014;6;Buenos Aires;;Arrecifes;Total de delitos contra la propiedad;825;;
2014;6;Buenos Aires;;Arrecifes;Total de hechos de robos;303;;
2014;6;Buenos Aires;;Arrecifes;Total de hechos de hurtos;319;;
2014;6;Buenos Aires;;Avellaneda;Total de hechos delictivos;9919;;
2014;6;Buenos Aires;;Avellaneda;Total de vmctimas de delitos contra las personas;;2663;
2014;6;Buenos Aires;;Avellaneda;Total de vmctimas de homicidios dolosos;;53;
2014;6;Buenos Aires;;Avellaneda;Total de vmctimas de lesiones dolosas;;1472;
2014;6;Buenos Aires;;Avellaneda;Total de vmctimas de muertes en siniestros viales;;3;
2014;6;Buenos Aires;;Avellaneda;Total de vmctimas de lesiones culposas en siniestros viales;;468;
2014;6;Buenos Aires;;Avellaneda;Total de vmctimas de violaciones;;22;
2014;6;Buenos Aires;;Avellaneda;Total de vmctimas de otros delitos contra la integridad sexual;;55;
2014;6;Buenos Aires;;Avellaneda;Total de hechos de amenazas;2306;;
2014;6;Buenos Aires;;Avellaneda;Total de delitos contra la propiedad;3499;;
2014;6;Buenos Aires;;Avellaneda;Total de hechos de robos;1671;;
2014;6;Buenos Aires;;Avellaneda;Total de hechos de hurtos;869;;
2014;6;Buenos Aires;;Ayacucho;Total de hechos delictivos;254;;
2014;6;Buenos Aires;;Ayacucho;Total de vmctimas de delitos contra las personas;;65;
2014;6;Buenos Aires;;Ayacucho;Total de vmctimas de homicidios dolosos;;0;
2014;6;Buenos Aires;;Ayacucho;Total de vmctimas de lesiones dolosas;;37;
2014;6;Buenos Aires;;Ayacucho;Total de vmctimas de muertes en siniestros viales;;8;
2014;6;Buenos Aires;;Ayacucho;Total de vmctimas de lesiones culposas en siniestros viales;;11;
2014;6;Buenos Aires;;Ayacucho;Total de vmctimas de violaciones;;0;
2014;6;Buenos Aires;;Ayacucho;Total de vmctimas de otros delitos contra la integridad sexual;;24;
2014;6;Buenos Aires;;Ayacucho;Total de hechos de amenazas;14;;
2014;6;Buenos Aires;;Ayacucho;Total de delitos contra la propiedad;115;;
2014;6;Buenos Aires;;Ayacucho;Total de hechos de robos;39;;
2014;6;Buenos Aires;;Ayacucho;Total de hechos de hurtos;58;;
2014;6;Buenos Aires;;Azul;Total de hechos delictivos;1562;;
2014;6;Buenos Aires;;Azul;Total de vmctimas de delitos contra las personas;;448;
2014;6;Buenos Aires;;Azul;Total de vmctimas de homicidios dolosos;;3;
2014;6;Buenos Aires;;Azul;Total de vmctimas de lesiones dolosas;;275;
2014;6;Buenos Aires;;Azul;Total de vmctimas de muertes en siniestros viales;;18;
2014;6;Buenos Aires;;Azul;Total de vmctimas de lesiones culposas en siniestros viales;;119;
2014;6;Buenos Aires;;Azul;Total de vmctimas de violaciones;;4;
