anio;provincia_id;provincia_nombre;codigo_delito_snic_id;codigo_delito_snic_nombre;cantidad_hechos;cantidad_victimas
2014;10;Catamarca;12;Delitos contra el estado civil;0;
2014;10;Catamarca;13;Amenazas;5275;
2014;10;Catamarca;14;Otros delitos contra la libertad;139;
2014;10;Catamarca;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);6479;
2014;10;Catamarca;16;Tentativas de robo;690;
2014;10;Catamarca;17;Robos agravados por el resultado de lesiones y/o muertes;0;
2014;10;Catamarca;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;0;
2014;10;Catamarca;19;Hurtos;4288;
2014;10;Catamarca;20;Tentativas de hurto;221;
2014;10;Catamarca;21;Otros delitos contra la propiedad;2768;
2014;10;Catamarca;22;Delitos contra la seguridad pzblica;14;
2014;10;Catamarca;23;Delitos contra el orden pzblico;14;
2014;10;Catamarca;24;Delitos contra la seguridad de la nacisn;0;
2014;10;Catamarca;25;Delitos contra los poderes pzblicos y el orden constitucional;0;
2014;10;Catamarca;26;Delitos contra la administracisn pzblica;243;
2014;10;Catamarca;27;Delitos contra la fe pzblica;67;
2014;10;Catamarca;28;Ley 23.737 (estupefacientes);71;
2014;10;Catamarca;29;Otros delitos previstos en leyes especiales;599;
2014;10;Catamarca;30;Figuras contravencionales;2391;
2014;14;Csrdoba;1;Homicidios dolosos;135;148
2014;14;Csrdoba;2;Homicidios dolosos en grado de tentativa;20;20
2014;14;Csrdoba;3;Homicidios cuposos en siniestros viales;379;450
2014;14;Csrdoba;4;Homicidios cuposos por otros hechos;58;58
2014;14;Csrdoba;5;Lesiones dolosas;9600;9988
2014;14;Csrdoba;6;Lesiones culposas en siniestros viales;8185;9818
2014;14;Csrdoba;7;Lesiones culposas por otros hechos;806;824
2014;14;Csrdoba;8;Otros delitos contra las personas;;
2014;14;Csrdoba;9;Delitos contra el honor;399;400
2014;14;Csrdoba;10;Violaciones;365;375
2014;14;Csrdoba;11;Otros delitos contra la integridad sexual;1277;1289
2014;14;Csrdoba;12;Delitos contra el estado civil;1;
2014;14;Csrdoba;13;Amenazas;13650;
2014;14;Csrdoba;14;Otros delitos contra la libertad;1315;
2014;14;Csrdoba;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);63763;
2014;14;Csrdoba;16;Tentativas de robo;1568;
2014;14;Csrdoba;17;Robos agravados por el resultado de lesiones y/o muertes;88;
2014;14;Csrdoba;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;147;
